id,enum,name,category,draw_mode,asset_id,asset_file,color_rgba,behavior,spread_percent,animation_kind,shape_type,segment_mask,direction_mask,radius_x_px,radius_y_px,depth_px,rotation_deg,break_px,spread_mode,origin
16,GCB89_PRESET_HORIZONTAL_WIDE,horizontal_wide,minimal,1,0,,"255,235,89,255",16,50,4,cross,255,15,0,0,0,0,0,gap,legacy96
17,GCB89_PRESET_VERTICAL_MICRO,vertical_micro,minimal,1,0,,"0,255,255,255",12,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
18,GCB89_PRESET_VERTICAL_WIDE,vertical_wide,minimal,1,0,,"255,235,89,255",16,50,4,cross,255,15,0,0,0,0,0,gap,legacy96
19,GCB89_PRESET_TOP_POST,top_post,minimal,1,0,,"255,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
20,GCB89_PRESET_BOTTOM_POST,bottom_post,minimal,1,0,,"255,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
21,GCB89_PRESET_RIFLE_STATIC,rifle_static,rifle,1,0,,"0,255,255,255",1,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
22,GCB89_PRESET_RIFLE_DYNAMIC,rifle_dynamic,rifle,1,0,,"80,255,80,255",31,100,2,cross,255,15,0,0,0,0,0,gap,legacy96
23,GCB89_PRESET_SMG_TRACKING,smg_tracking,tracking,1,0,,"80,255,80,255",30,140,2,cross,255,15,0,0,0,0,0,gap,legacy96
24,GCB89_PRESET_PISTOL_CRISP,pistol_crisp,pistol,1,0,,"255,235,89,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
25,GCB89_PRESET_PISTOL_DOT,pistol_dot,pistol,1,0,,"255,235,89,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
26,GCB89_PRESET_SHOTGUN_VECTOR,shotgun_vector,shotgun,1,0,,"255,150,40,255",30,170,3,cross,255,15,0,0,0,0,0,gap,legacy96
27,GCB89_PRESET_SHOTGUN_DYNAMIC,shotgun_dynamic,shotgun,1,0,,"255,235,89,255",18,220,3,cross,255,15,0,0,0,0,0,gap,legacy96
28,GCB89_PRESET_SNIPER_HAIRLINE,sniper_hairline,sniper,1,0,,"255,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
29,GCB89_PRESET_SNIPER_POST,sniper_post,sniper,1,0,,"255,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
30,GCB89_PRESET_HIPFIRE_WIDE,hipfire_wide,hipfire,1,0,,"255,150,40,255",18,180,3,cross,255,15,0,0,0,0,0,gap,legacy96
31,GCB89_PRESET_ACCESSIBILITY_LARGE,accessibility_large,accessibility,1,0,,"80,255,80,255",29,70,4,cross,255,15,0,0,0,0,0,gap,legacy96
32,GCB89_PRESET_ACCESSIBILITY_BOLD,accessibility_bold,accessibility,1,0,,"255,235,89,255",12,0,4,cross,255,15,0,0,0,0,0,gap,legacy96
33,GCB89_PRESET_HIGH_CONTRAST_WHITE,high_contrast_white,accessibility,1,0,,"255,255,255,255",13,0,4,cross,255,15,0,0,0,0,0,gap,legacy96
34,GCB89_PRESET_HIGH_CONTRAST_YELLOW,high_contrast_yellow,accessibility,1,0,,"255,235,89,255",13,0,4,cross,255,15,0,0,0,0,0,gap,legacy96
35,GCB89_PRESET_CYAN_TRACKER,cyan_tracker,tracking,1,0,,"0,255,255,255",30,120,2,cross,255,15,0,0,0,0,0,gap,legacy96
36,GCB89_PRESET_LIME_TRACKER,lime_tracker,tracking,1,0,,"80,255,80,255",30,120,2,cross,255,15,0,0,0,0,0,gap,legacy96
37,GCB89_PRESET_RED_THREAT,red_threat,themed,1,0,,"255,64,64,255",22,110,2,cross,255,15,0,0,0,0,0,gap,legacy96
38,GCB89_PRESET_MAGENTA_NEON,magenta_neon,themed,1,0,,"255,64,220,255",23,100,2,cross,255,15,0,0,0,0,0,gap,legacy96
39,GCB89_PRESET_RING_SMALL,ring_small,circular,1,0,,"0,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
40,GCB89_PRESET_RING_MEDIUM,ring_medium,circular,1,0,,"80,255,80,255",18,90,2,cross,255,15,0,0,0,0,0,gap,legacy96
41,GCB89_PRESET_RING_LARGE,ring_large,circular,1,0,,"255,235,89,255",18,120,3,cross,255,15,0,0,0,0,0,gap,legacy96
42,GCB89_PRESET_RING_DOT,ring_dot,circular,1,0,,"0,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
43,GCB89_PRESET_RING_CROSS,ring_cross,circular,1,0,,"255,255,255,255",13,0,4,cross,255,15,0,0,0,0,0,gap,legacy96
44,GCB89_PRESET_DOUBLE_RING,double_ring,circular,1,0,,"0,255,255,255",18,100,2,cross,255,15,0,0,0,0,0,gap,legacy96
45,GCB89_PRESET_SEGMENTED_RING,segmented_ring,circular,1,0,,"80,255,80,255",30,110,2,cross,255,15,0,0,0,0,0,gap,legacy96
46,GCB89_PRESET_BROKEN_CIRCLE,broken_circle,circular,1,0,,"255,235,89,255",19,100,2,cross,255,15,0,0,0,0,0,gap,legacy96
47,GCB89_PRESET_ARC_BRACKETS,arc_brackets,circular,1,0,,"0,255,255,255",13,0,4,cross,255,15,0,0,0,0,0,gap,legacy96
48,GCB89_PRESET_SHOTGUN_RING,shotgun_ring,shotgun,1,0,,"255,150,40,255",30,190,3,cross,255,15,0,0,0,0,0,gap,legacy96
49,GCB89_PRESET_CIRCLE_OUTER_CROSS,circle_outer_cross,circular,1,0,,"255,255,255,255",17,75,4,cross,255,15,0,0,0,0,0,gap,legacy96
50,GCB89_PRESET_CIRCLE_INNER_DOT,circle_inner_dot,circular,1,0,,"80,255,80,255",12,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
51,GCB89_PRESET_DIAMOND,diamond,geometric,1,0,,"0,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
52,GCB89_PRESET_DIAMOND_DOT,diamond_dot,geometric,1,0,,"255,235,89,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
53,GCB89_PRESET_TRIANGLE,triangle,geometric,1,0,,"80,255,80,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
54,GCB89_PRESET_TRIANGLE_DOT,triangle_dot,geometric,1,0,,"255,235,89,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
55,GCB89_PRESET_CHEVRON_UP,chevron_up,chevron,1,0,,"0,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
56,GCB89_PRESET_CHEVRON_DOWN,chevron_down,chevron,1,0,,"0,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
57,GCB89_PRESET_DOUBLE_CHEVRON,double_chevron,chevron,1,0,,"80,255,80,255",31,80,2,cross,255,15,0,0,0,0,0,gap,legacy96
58,GCB89_PRESET_X_CROSS,x_cross,geometric,1,0,,"255,64,220,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
59,GCB89_PRESET_X_DOT,x_dot,geometric,1,0,,"255,64,220,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
60,GCB89_PRESET_HEX_RING,hex_ring,geometric,1,0,,"0,255,255,255",18,90,2,cross,255,15,0,0,0,0,0,gap,legacy96
61,GCB89_PRESET_OCTAGON_RING,octagon_ring,geometric,1,0,,"80,255,80,255",18,90,2,cross,255,15,0,0,0,0,0,gap,legacy96
62,GCB89_PRESET_SQUARE_RING,square_ring,geometric,1,0,,"255,255,255,255",13,0,4,cross,255,15,0,0,0,0,0,gap,legacy96
63,GCB89_PRESET_CORNER_BOX,corner_box,brackets,1,0,,"0,255,255,255",19,100,2,cross,255,15,0,0,0,0,0,gap,legacy96
64,GCB89_PRESET_FOCUS_BRACKETS,focus_brackets,brackets,1,0,,"80,255,80,255",13,0,4,cross,255,15,0,0,0,0,0,gap,legacy96
65,GCB89_PRESET_SCI_FI_BRACKETS,sci_fi_brackets,brackets,1,0,,"255,64,220,255",31,100,2,cross,255,15,0,0,0,0,0,gap,legacy96
66,GCB89_PRESET_SEMICIRCLE_TOP,semicircle_top,circular,1,0,,"0,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
67,GCB89_PRESET_SEMICIRCLE_BOTTOM,semicircle_bottom,circular,1,0,,"0,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
68,GCB89_PRESET_HORSESHOE,horseshoe,circular,1,0,,"255,235,89,255",19,100,2,cross,255,15,0,0,0,0,0,gap,legacy96
69,GCB89_PRESET_BULLSEYE,bullseye,scope,1,0,,"255,64,64,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
70,GCB89_PRESET_RADAR_SPOKES,radar_spokes,scope,1,0,,"80,255,80,255",19,70,2,cross,255,15,0,0,0,0,0,gap,legacy96
71,GCB89_PRESET_RANGEFINDER,rangefinder,scope,1,0,,"255,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
72,GCB89_PRESET_COMPASS,compass,scope,1,0,,"0,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
73,GCB89_PRESET_THREE_PRONG,three_prong,arena,1,0,,"80,255,80,255",19,100,2,cross,255,15,0,0,0,0,0,gap,legacy96
74,GCB89_PRESET_FOUR_CORNER,four_corner,arena,1,0,,"0,255,255,255",13,0,4,cross,255,15,0,0,0,0,0,gap,legacy96
75,GCB89_PRESET_SEGMENTED_SQUARE,segmented_square,geometric,1,0,,"255,235,89,255",18,100,2,cross,255,15,0,0,0,0,0,gap,legacy96
76,GCB89_PRESET_CAPSULE,capsule,geometric,1,0,,"255,64,220,255",31,90,2,cross,255,15,0,0,0,0,0,gap,legacy96
77,GCB89_PRESET_RING_CHEVRON,ring_chevron,hybrid,1,0,,"0,255,255,255",13,0,4,cross,255,15,0,0,0,0,0,gap,legacy96
78,GCB89_PRESET_DIAMOND_CROSS,diamond_cross,hybrid,1,0,,"255,255,255,255",13,0,4,cross,255,15,0,0,0,0,0,gap,legacy96
79,GCB89_PRESET_OCTAGON_DOT,octagon_dot,hybrid,1,0,,"80,255,80,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
80,GCB89_PRESET_TARGET_LOCK,target_lock,brackets,1,0,,"255,64,64,255",23,120,2,cross,255,15,0,0,0,0,0,gap,legacy96
81,GCB89_PRESET_MINIMAL_U,minimal_u,minimal,1,0,,"0,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
82,GCB89_PRESET_MINIMAL_N,minimal_n,minimal,1,0,,"0,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
83,GCB89_PRESET_DUAL_HORIZONTAL,dual_horizontal,minimal,1,0,,"255,235,89,255",18,90,2,cross,255,15,0,0,0,0,0,gap,legacy96
84,GCB89_PRESET_DUAL_VERTICAL,dual_vertical,minimal,1,0,,"255,235,89,255",18,90,2,cross,255,15,0,0,0,0,0,gap,legacy96
85,GCB89_PRESET_LEFT_CORNER,left_corner,minimal,1,0,,"80,255,80,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
86,GCB89_PRESET_RIGHT_CORNER,right_corner,minimal,1,0,,"80,255,80,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
87,GCB89_PRESET_TOP_CORNERS,top_corners,minimal,1,0,,"0,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
88,GCB89_PRESET_BOTTOM_CORNERS,bottom_corners,minimal,1,0,,"0,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
89,GCB89_PRESET_SCOPE_MIL_DOT,scope_mil_dot,scope,1,0,,"255,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
90,GCB89_PRESET_SCOPE_DUPLEX,scope_duplex,scope,1,0,,"255,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
91,GCB89_PRESET_SCOPE_CIRCLE,scope_circle,scope,1,0,,"255,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
92,GCB89_PRESET_SCOPE_CIRCLE_DOT,scope_circle_dot,scope,1,0,,"255,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,gap,legacy96
93,GCB89_PRESET_ARENA_BRACKETS,arena_brackets,arena,1,0,,"80,255,80,255",19,100,2,cross,255,15,0,0,0,0,0,gap,legacy96
94,GCB89_PRESET_MECH_LOCK,mech_lock,themed,1,0,,"255,64,220,255",31,110,2,cross,255,15,0,0,0,0,0,gap,legacy96
95,GCB89_PRESET_RETRO_ARCADE,retro_arcade,themed,1,0,,"40,255,160,255",30,130,2,cross,255,15,0,0,0,0,0,gap,legacy96
96,GCB89_PRESET_TAC_DOT_MICRO,tac_dot_micro,precision,1,0,,"0,255,255,255",12,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
97,GCB89_PRESET_TAC_DOT_RING,tac_dot_ring,precision,1,0,,"255,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
98,GCB89_PRESET_HITSCAN_SHORT_CROSS,hitscan_short_cross,hitscan,1,0,,"80,255,80,255",1,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
99,GCB89_PRESET_HITSCAN_PIXEL_GAP,hitscan_pixel_gap,hitscan,1,0,,"255,235,89,255",12,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
100,GCB89_PRESET_RAIL_DOT,rail_dot,arena,1,0,,"255,64,220,255",12,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
101,GCB89_PRESET_RAIL_CROSS,rail_cross,arena,1,0,,"255,64,220,255",5,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
102,GCB89_PRESET_BURST_RIFLE_TIGHT,burst_rifle_tight,rifle,1,0,,"0,255,255,255",19,55,1,cross,255,15,0,0,0,0,0,gap,abi2_new96
103,GCB89_PRESET_BURST_RIFLE_DYNAMIC,burst_rifle_dynamic,rifle,1,0,,"80,255,80,255",19,95,2,cross,255,15,0,0,0,0,0,gap,abi2_new96
104,GCB89_PRESET_RECOIL_COMPENSATOR_T,recoil_compensator_t,tactical,1,0,,"255,235,89,255",18,80,2,cross,255,15,0,0,0,0,0,gap,abi2_new96
105,GCB89_PRESET_HEADSHOT_TINY,headshot_tiny,precision,1,0,,"255,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
106,GCB89_PRESET_CENTER_POST_UP,center_post_up,precision,1,0,,"0,255,255,255",1,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
107,GCB89_PRESET_CENTER_POST_DOWN,center_post_down,precision,1,0,,"0,255,255,255",1,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
108,GCB89_PRESET_CS_STATIC_MICRO,cs_static_micro,competitive,1,0,,"80,255,80,255",0,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
109,GCB89_PRESET_CS_STATIC_DENSE,cs_static_dense,competitive,1,0,,"0,255,255,255",0,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
110,GCB89_PRESET_CS_STATIC_OPEN,cs_static_open,competitive,1,0,,"255,235,89,255",0,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
111,GCB89_PRESET_CS_DYNAMIC_CLASSIC,cs_dynamic_classic,competitive,1,0,,"80,255,80,255",18,85,2,cross,255,15,0,0,0,0,0,gap,abi2_new96
112,GCB89_PRESET_CS_DYNAMIC_BURST,cs_dynamic_burst,competitive,1,0,,"0,255,255,255",18,65,2,cross,255,15,0,0,0,0,0,gap,abi2_new96
113,GCB89_PRESET_VALORANT_INNER_SHORT,valorant_inner_short,competitive,1,0,,"0,255,255,255",1,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
114,GCB89_PRESET_VALORANT_INNER_OPEN,valorant_inner_open,competitive,1,0,,"255,255,255,255",12,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
115,GCB89_PRESET_VALORANT_SQUARE_DOT,valorant_square_dot,competitive,1,0,,"80,255,80,255",12,0,1,square,15,15,4,4,0,0,2,none,abi2_new96
116,GCB89_PRESET_QUAKE_PLUS,quake_plus,arena,1,0,,"255,255,255,255",18,50,1,cross,255,15,0,0,0,0,0,gap,abi2_new96
117,GCB89_PRESET_QUAKE_CROSS_CIRCLE,quake_cross_circle,arena,1,0,,"0,255,255,255",18,75,2,cross,255,15,0,0,0,0,0,gap,abi2_new96
118,GCB89_PRESET_ARENA_LIGHTNING_DOT,arena_lightning_dot,tracking,1,0,,"170,255,60,255",14,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
119,GCB89_PRESET_ARENA_RAIL_CROSS,arena_rail_cross,arena,1,0,,"255,64,220,255",13,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
120,GCB89_PRESET_TRACKER_RING_TINY,tracker_ring_tiny,tracking,1,0,,"0,255,255,255",0,0,1,circle,255,15,6,6,0,0,0,none,abi2_new96
121,GCB89_PRESET_TRACKER_RING_DOT,tracker_ring_dot,tracking,1,0,,"80,255,80,255",12,0,1,circle,255,15,9,9,0,0,0,none,abi2_new96
122,GCB89_PRESET_TRACKING_ELLIPSE,tracking_ellipse,tracking,1,0,,"0,255,255,255",18,65,2,circle,255,15,13,8,0,0,0,shape_size,abi2_new96
123,GCB89_PRESET_BEAM_RING,beam_ring,tracking,1,0,,"170,255,60,255",18,40,1,circle,255,15,11,11,0,0,0,shape_size,abi2_new96
124,GCB89_PRESET_PROJECTILE_LEAD_CIRCLE,projectile_lead_circle,projectile,1,0,,"255,235,89,255",18,110,2,circle,255,15,15,15,0,0,0,shape_size,abi2_new96
125,GCB89_PRESET_PROJECTILE_LEAD_BROKEN,projectile_lead_broken,projectile,1,0,,"255,150,40,255",18,120,2,circle,85,15,16,16,0,0,2,shape_size,abi2_new96
126,GCB89_PRESET_MELEE_LARGE_RING,melee_large_ring,melee,1,0,,"255,235,89,255",18,120,3,circle,255,15,24,24,0,0,0,shape_size,abi2_new96
127,GCB89_PRESET_AOE_WIDE_RING,aoe_wide_ring,aoe,1,0,,"255,64,220,255",18,140,3,circle,255,15,28,20,0,0,0,shape_size,abi2_new96
128,GCB89_PRESET_SHOTGUN_CIRCLE,shotgun_circle,shotgun,1,0,,"255,150,40,255",18,160,3,circle,255,15,18,18,0,0,0,shape_size,abi2_new96
129,GCB89_PRESET_SHOTGUN_CIRCLE_DYNAMIC,shotgun_circle_dynamic,shotgun,1,0,,"255,235,89,255",19,220,3,circle,255,15,20,20,0,0,0,shape_size,abi2_new96
130,GCB89_PRESET_CIRCLE_TOP_ARC,circle_top_arc,circular,1,0,,"0,255,255,255",1,0,1,circle,195,15,14,12,0,0,0,none,abi2_new96
131,GCB89_PRESET_CIRCLE_BOTTOM_ARC,circle_bottom_arc,circular,1,0,,"0,255,255,255",1,0,1,circle,60,15,14,12,0,0,0,none,abi2_new96
132,GCB89_PRESET_SHOTGUN_FOUR_POSTS,shotgun_four_posts,shotgun,1,0,,"255,150,40,255",18,180,3,cross,255,15,0,0,0,0,0,gap,abi2_new96
133,GCB89_PRESET_SHOTGUN_WIDE_CROSS,shotgun_wide_cross,shotgun,1,0,,"255,235,89,255",18,170,3,cross,255,15,0,0,0,0,0,gap,abi2_new96
134,GCB89_PRESET_SHOTGUN_BLOOM_CROSS,shotgun_bloom_cross,shotgun,1,0,,"255,150,40,255",19,240,3,cross,255,15,0,0,0,0,0,gap,abi2_new96
135,GCB89_PRESET_SHOTGUN_SQUARE,shotgun_square,shotgun,1,0,,"255,150,40,255",18,170,3,square,15,15,18,18,0,0,5,shape_size,abi2_new96
136,GCB89_PRESET_SHOTGUN_DIAMOND,shotgun_diamond,shotgun,1,0,,"255,235,89,255",18,180,3,diamond,15,15,20,16,0,0,4,shape_size,abi2_new96
137,GCB89_PRESET_SHOTGUN_HEX,shotgun_hex,shotgun,1,0,,"255,150,40,255",18,190,3,hexagon,63,15,21,17,0,0,4,shape_size,abi2_new96
138,GCB89_PRESET_BUCKSHOT_BRACKETS,buckshot_brackets,shotgun,1,0,,"255,150,40,255",18,190,3,brackets,255,3,22,15,7,0,0,shape_size,abi2_new96
139,GCB89_PRESET_SLUG_PRECISION,slug_precision,shotgun,1,0,,"255,255,255,255",13,0,1,cross,255,15,0,0,0,0,0,none,abi2_new96
140,GCB89_PRESET_HIPFIRE_HEAVY,hipfire_heavy,hipfire,1,0,,"255,64,64,255",18,170,3,cross,255,15,0,0,0,0,0,gap,abi2_new96
141,GCB89_PRESET_HIPFIRE_VEHICLE,hipfire_vehicle,vehicle,1,0,,"0,255,255,255",18,140,2,brackets,255,15,25,18,8,0,0,shape_size,abi2_new96
142,GCB89_PRESET_SPRAY_CONTROL,spray_control,smg,1,0,,"80,255,80,255",18,110,2,cross,255,15,0,0,0,0,0,gap,abi2_new96
143,GCB89_PRESET_SMG_BLOOM,smg_bloom,smg,1,0,,"0,255,255,255",19,135,2,cross,255,15,0,0,0,0,0,gap,abi2_new96
144,GCB89_PRESET_SQUARE_MICRO_VECTOR,square_micro_vector,geometric,1,0,,"0,255,255,255",0,0,1,square,15,15,5,5,0,0,0,none,abi2_new96
145,GCB89_PRESET_SQUARE_DOT_VECTOR,square_dot_vector,geometric,1,0,,"80,255,80,255",12,0,1,square,15,15,9,9,0,0,0,none,abi2_new96
146,GCB89_PRESET_SQUARE_BROKEN_VECTOR,square_broken_vector,geometric,1,0,,"255,235,89,255",18,70,2,square,15,15,13,13,0,0,5,shape_size,abi2_new96
147,GCB89_PRESET_SQUARE_TOP_OPEN,square_top_open,geometric,1,0,,"0,255,255,255",1,0,1,square,14,15,12,10,0,0,0,none,abi2_new96
148,GCB89_PRESET_DIAMOND_MICRO_VECTOR,diamond_micro_vector,geometric,1,0,,"0,255,255,255",0,0,1,diamond,15,15,6,7,0,0,0,none,abi2_new96
149,GCB89_PRESET_DIAMOND_DOT_VECTOR,diamond_dot_vector,geometric,1,0,,"80,255,80,255",12,0,1,diamond,15,15,10,12,0,0,0,none,abi2_new96
150,GCB89_PRESET_DIAMOND_BROKEN_VECTOR,diamond_broken_vector,geometric,1,0,,"255,235,89,255",18,75,2,diamond,15,15,14,16,0,0,5,shape_size,abi2_new96
151,GCB89_PRESET_DIAMOND_HORIZONTAL,diamond_horizontal,geometric,1,0,,"255,64,220,255",1,0,1,diamond,15,15,16,9,0,0,0,none,abi2_new96
152,GCB89_PRESET_HEX_MICRO_VECTOR,hex_micro_vector,geometric,1,0,,"0,255,255,255",0,0,1,hexagon,63,15,7,7,0,0,0,none,abi2_new96
153,GCB89_PRESET_HEX_DOT_VECTOR,hex_dot_vector,geometric,1,0,,"80,255,80,255",12,0,1,hexagon,63,15,11,10,0,0,0,none,abi2_new96
154,GCB89_PRESET_HEX_BROKEN_VECTOR,hex_broken_vector,geometric,1,0,,"255,235,89,255",18,85,2,hexagon,21,15,15,13,0,0,3,shape_size,abi2_new96
155,GCB89_PRESET_HEX_WIDE_VECTOR,hex_wide_vector,geometric,1,0,,"170,100,255,255",18,100,2,hexagon,63,15,20,13,0,0,0,shape_size,abi2_new96
156,GCB89_PRESET_CHEVRON_UP_MICRO_VECTOR,chevron_up_micro_vector,chevron,1,0,,"0,255,255,255",1,0,1,chevrons,255,4,8,8,5,0,0,none,abi2_new96
157,GCB89_PRESET_CHEVRON_DOWN_MICRO_VECTOR,chevron_down_micro_vector,chevron,1,0,,"0,255,255,255",1,0,1,chevrons,255,8,8,8,5,0,0,none,abi2_new96
158,GCB89_PRESET_CHEVRON_LEFT_VECTOR,chevron_left_vector,chevron,1,0,,"80,255,80,255",12,0,1,chevrons,255,1,10,9,6,0,0,none,abi2_new96
159,GCB89_PRESET_CHEVRON_RIGHT_VECTOR,chevron_right_vector,chevron,1,0,,"80,255,80,255",12,0,1,chevrons,255,2,10,9,6,0,0,none,abi2_new96
160,GCB89_PRESET_CHEVRON_DOUBLE_VERTICAL,chevron_double_vertical,chevron,1,0,,"255,235,89,255",18,85,2,chevrons,255,12,13,13,7,0,0,shape_size,abi2_new96
161,GCB89_PRESET_CHEVRON_HORIZONTAL,chevron_horizontal,chevron,1,0,,"255,64,220,255",18,85,2,chevrons,255,3,13,11,7,0,0,shape_size,abi2_new96
162,GCB89_PRESET_BRACKET_LR_TIGHT_VECTOR,bracket_lr_tight_vector,brackets,1,0,,"0,255,255,255",1,0,1,brackets,255,3,10,8,4,0,0,none,abi2_new96
163,GCB89_PRESET_BRACKET_LR_WIDE_VECTOR,bracket_lr_wide_vector,brackets,1,0,,"80,255,80,255",18,100,2,brackets,255,3,18,12,6,0,0,shape_size,abi2_new96
164,GCB89_PRESET_BRACKET_UD_VECTOR,bracket_ud_vector,brackets,1,0,,"0,255,255,255",1,0,1,brackets,255,12,12,16,5,0,0,none,abi2_new96
165,GCB89_PRESET_BRACKET_FOUR_VECTOR,bracket_four_vector,brackets,1,0,,"255,235,89,255",18,110,2,brackets,255,15,18,15,6,0,0,shape_size,abi2_new96
