000 base_legacy                            6 shapes 000_base_legacy.ini
038 svd_pso1_dragunov                     22 shapes 038_svd_pso1_dragunov.ini
039 pso1_1                                10 shapes 039_pso1_1.ini
040 psg1_hensoldt_6x42                     4 shapes 040_psg1_hensoldt_6x42.ini
041 psg1a1_police                          9 shapes 041_psg1a1_police.ini
042 ssg69_kahles_style                     5 shapes 042_ssg69_kahles_style.ini
043 l96_sight90_style                     17 shapes 043_l96_sight90_style.ini
044 m82_bors_simple                        6 shapes 044_m82_bors_simple.ini
045 hunting_bdc                            8 shapes 045_hunting_bdc.ini
046 benchrest_dot                          5 shapes 046_benchrest_dot.ini
047 varmint_fine                           3 shapes 047_varmint_fine.ini
048 night_vision_chevron                   4 shapes 048_night_vision_chevron.ini
049 thermal_cross                          3 shapes 049_thermal_cross.ini
050 digital_range_grid                     5 shapes 050_digital_range_grid.ini
051 rpg7_pgo7                             16 shapes 051_rpg7_pgo7.ini
052 rpg7_pgo7v3                           19 shapes 052_rpg7_pgo7v3.ini
053 rpg29_optic_style                      7 shapes 053_rpg29_optic_style.ini
054 at4_optic_style                        7 shapes 054_at4_optic_style.ini
055 smaw_optic_style                       8 shapes 055_smaw_optic_style.ini
056 carl_gustaf_style                      5 shapes 056_carl_gustaf_style.ini
057 m72_ladder_style                       8 shapes 057_m72_ladder_style.ini
058 simple_launcher_lead                   5 shapes 058_simple_launcher_lead.ini
059 re5_s75_scope                          2 shapes 059_re5_s75_scope.ini
060 re5_s75_red_cross                      2 shapes 060_re5_s75_red_cross.ini
061 re5_svd_game_scope                    16 shapes 061_re5_svd_game_scope.ini
062 re5_psg1_game_scope                    1 shapes 062_re5_psg1_game_scope.ini
063 re_rev_m1891_pu                        4 shapes 063_re_rev_m1891_pu.ini
064 re_rev_m1891_zaytsev                  12 shapes 064_re_rev_m1891_zaytsev.ini
065 re_rev_muramasa                        9 shapes 065_re_rev_muramasa.ini
066 re_rev_muramasa_zeroth                12 shapes 066_re_rev_muramasa_zeroth.ini
067 re_rev2_amr_scope                     15 shapes 067_re_rev2_amr_scope.ini
068 re_village_sa110_scope                50 shapes 068_re_village_sa110_scope.ini
069 re_reverse_sa110_ots                   5 shapes 069_re_reverse_sa110_ots.ini
070 re4_rifle_classic                      5 shapes 070_re4_rifle_classic.ini
071 re4_semiauto_scope                     8 shapes 071_re4_semiauto_scope.ini
072 re4_stingray_scope                    47 shapes 072_re4_stingray_scope.ini
073 re4r_sr_m1903_scope                    6 shapes 073_re4r_sr_m1903_scope.ini
074 re6_anti_materiel_scope               33 shapes 074_re6_anti_materiel_scope.ini
075 re_darkside_linear_scope               3 shapes 075_re_darkside_linear_scope.ini
076 re_survivor_arcade_scope               4 shapes 076_re_survivor_arcade_scope.ini
077 winchester_a5_wwi_fine_cross           1 shapes 077_winchester_a5_wwi_fine_cross.ini
078 ppco_wwi_offset                        2 shapes 078_ppco_wwi_offset.ini
079 aldis_wwi_post                         3 shapes 079_aldis_wwi_post.ini
080 goertz_3x_post                         4 shapes 080_goertz_3x_post.ini
081 voigtlander_skopar                     5 shapes 081_voigtlander_skopar.ini
082 carl_zeiss_zielvier                    4 shapes 082_carl_zeiss_zielvier.ini
083 warner_swasey_m1908                    2 shapes 083_warner_swasey_m1908.ini
084 warner_swasey_m1913                   14 shapes 084_warner_swasey_m1913.ini
085 pattern_1918_scope                     4 shapes 085_pattern_1918_scope.ini
086 mosin_pe_early                         4 shapes 086_mosin_pe_early.ini
087 mosin_pem_top_mount                   10 shapes 087_mosin_pem_top_mount.ini
088 mosin_pem_side_mount                  10 shapes 088_mosin_pem_side_mount.ini
089 mosin_pu_1942                          4 shapes 089_mosin_pu_1942.ini
090 mosin_pu_german_style                  4 shapes 090_mosin_pu_german_style.ini
091 finnish_m39_ajack                      4 shapes 091_finnish_m39_ajack.ini
092 finnish_m39_physica                    4 shapes 092_finnish_m39_physica.ini
093 swedish_m41_ajack                      5 shapes 093_swedish_m41_ajack.ini
094 swedish_m41_aga                        5 shapes 094_swedish_m41_aga.ini
095 japanese_type97_2_5x                   4 shapes 095_japanese_type97_2_5x.ini
096 japanese_type99_4x                    11 shapes 096_japanese_type99_4x.ini
097 german_zf39                            4 shapes 097_german_zf39.ini
098 german_zf41                            4 shapes 098_german_zf41.ini
099 german_zf4_zielvier                    4 shapes 099_german_zf4_zielvier.ini
100 k98k_ajack_4x90                        5 shapes 100_k98k_ajack_4x90.ini
101 lee_enfield_no32_mk1                   3 shapes 101_lee_enfield_no32_mk1.ini
102 lee_enfield_no32_mk2                   3 shapes 102_lee_enfield_no32_mk2.ini
103 lee_enfield_no32_mk3                   4 shapes 103_lee_enfield_no32_mk3.ini
104 canadian_c_no32                        4 shapes 104_canadian_c_no32.ini
105 us_m73b1_1903a4                        1 shapes 105_us_m73b1_1903a4.ini
106 us_m81_post                            3 shapes 106_us_m81_post.ini
107 us_m82_cross                           4 shapes 107_us_m82_cross.ini
108 us_m84_post                            9 shapes 108_us_m84_post.ini
109 us_unertl_8x                           2 shapes 109_us_unertl_8x.ini
110 us_winchester_a5_marine                2 shapes 110_us_winchester_a5_marine.ini
111 m1c_lyman_alaskan                      5 shapes 111_m1c_lyman_alaskan.ini
112 m1d_m84                                9 shapes 112_m1d_m84.ini
113 m21_art_i                              7 shapes 113_m21_art_i.ini
114 m21_art_ii                            10 shapes 114_m21_art_ii.ini
115 m40_redfield_3_9                       5 shapes 115_m40_redfield_3_9.ini
116 m40a1_unertl_10x                      12 shapes 116_m40a1_unertl_10x.ini
117 m24_leupold_m3a                       17 shapes 117_m24_leupold_m3a.ini
118 m24a2_mildot                          41 shapes 118_m24a2_mildot.ini
119 ssg69_kahles_zf69                      5 shapes 119_ssg69_kahles_zf69.ini
120 steyr_zf69_post                        4 shapes 120_steyr_zf69_post.ini
121 l96_schmidt_bender_6x42               17 shapes 121_l96_schmidt_bender_6x42.ini
122 l96a1_sight_unit                      10 shapes 122_l96a1_sight_unit.ini
123 frf1_apx_l806                          8 shapes 123_frf1_apx_l806.ini
124 frf2_scrome_j8                        18 shapes 124_frf2_scrome_j8.ini
125 galil_sniper_nimrod                    7 shapes 125_galil_sniper_nimrod.ini
126 swiss_k31_kern                         2 shapes 126_swiss_k31_kern.ini
127 sig_sg550_kern                         7 shapes 127_sig_sg550_kern.ini
128 svd_pso1_early                        24 shapes 128_svd_pso1_early.ini
129 svd_pso1m2                            24 shapes 129_svd_pso1m2.ini
130 svd_pso1_1m2                          28 shapes 130_svd_pso1_1m2.ini
131 romanian_lps_tip2                     28 shapes 131_romanian_lps_tip2.ini
132 yugo_zrak_m76                         28 shapes 132_yugo_zrak_m76.ini
133 zrak_onm76b                           32 shapes 133_zrak_onm76b.ini
134 czech_op2                             12 shapes 134_czech_op2.ini
135 czech_psop                            17 shapes 135_czech_psop.ini
136 hungarian_pso_style                   17 shapes 136_hungarian_pso_style.ini
137 chinese_jjj_4x                         3 shapes 137_chinese_jjj_4x.ini
138 norinco_type79                        24 shapes 138_norinco_type79.ini
139 dragunov_1p21                         24 shapes 139_dragunov_1p21.ini
140 dragunov_1p59                         26 shapes 140_dragunov_1p59.ini
141 dragunov_1pn58                         3 shapes 141_dragunov_1pn58.ini
142 ak_1p29                                2 shapes 142_ak_1p29.ini
143 val_pso1m2_1                          24 shapes 143_val_pso1m2_1.ini
144 vss_1pn51                              2 shapes 144_vss_1pn51.ini
145 pgo7_rangefinder_alt                  20 shapes 145_pgo7_rangefinder_alt.ini
146 nspu_night_chevron                     7 shapes 146_nspu_night_chevron.ini
147 an_pvs4_post                           4 shapes 147_an_pvs4_post.ini
148 an_pvs10_mildot                       17 shapes 148_an_pvs10_mildot.ini
149 susat_obelisk                          4 shapes 149_susat_obelisk.ini
150 trilux_l2a2                            2 shapes 150_trilux_l2a2.ini
151 mildot_army_round                     17 shapes 151_mildot_army_round.ini
152 mildot_marine_oval                    17 shapes 152_mildot_marine_oval.ini
153 tmr_mil_hash                          50 shapes 153_tmr_mil_hash.ini
154 tmr_open_center                       50 shapes 154_tmr_open_center.ini
155 gen2_mildot                           41 shapes 155_gen2_mildot.ini
156 half_mil_hash                         50 shapes 156_half_mil_hash.ini
157 point_two_mil_hash                    98 shapes 157_point_two_mil_hash.ini
158 moa_quarter_hash                      90 shapes 158_moa_quarter_hash.ini
159 moa_half_hash                         46 shapes 159_moa_half_hash.ini
160 bdc_556_ladder                        17 shapes 160_bdc_556_ladder.ini
161 bdc_762_ladder                        20 shapes 161_bdc_762_ladder.ini
162 bdc_300wm_ladder                      23 shapes 162_bdc_300wm_ladder.ini
163 bdc_338_ladder                        26 shapes 163_bdc_338_ladder.ini
164 h59_style_grid                        79 shapes 164_h59_style_grid.ini
165 horus_style_grid_light                47 shapes 165_horus_style_grid_light.ini
166 horus_style_grid_dense               185 shapes 166_horus_style_grid_dense.ini
167 tremor_style_wind_dots                98 shapes 167_tremor_style_wind_dots.ini
168 ebr2c_mrad_style                      62 shapes 168_ebr2c_mrad_style.ini
169 ebr2c_moa_style                       62 shapes 169_ebr2c_moa_style.ini
170 ebr7c_mrad_style                     139 shapes 170_ebr7c_mrad_style.ini
171 ebr7c_moa_style                      139 shapes 171_ebr7c_moa_style.ini
172 skmr_style                            62 shapes 172_skmr_style.ini
173 msr_style                             91 shapes 173_msr_style.ini
174 p4fl_style                            10 shapes 174_p4fl_style.ini
175 milxt_style                           91 shapes 175_milxt_style.ini
176 milc_style                            91 shapes 176_milc_style.ini
177 milr_style                            12 shapes 177_milr_style.ini
178 pr1_moa_style                        151 shapes 178_pr1_moa_style.ini
179 pr2_mil_style                        151 shapes 179_pr2_mil_style.ini
180 aprs_style                            91 shapes 180_aprs_style.ini
181 g2dmr_style                           62 shapes 181_g2dmr_style.ini
182 dev_l_style                           91 shapes 182_dev_l_style.ini
183 cch_style                             11 shapes 183_cch_style.ini
184 cmr_mil_style                          9 shapes 184_cmr_mil_style.ini
185 rapid_acq_horseshoe                    7 shapes 185_rapid_acq_horseshoe.ini
186 hunting_4a                             4 shapes 186_hunting_4a.ini
187 hunting_7a                             5 shapes 187_hunting_7a.ini
188 hunting_ballistic_plex                 9 shapes 188_hunting_ballistic_plex.ini
189 benchrest_cross_dot                    2 shapes 189_benchrest_cross_dot.ini
190 varmint_tiny_dot                       2 shapes 190_varmint_tiny_dot.ini
191 digital_bors_advanced                 14 shapes 191_digital_bors_advanced.ini
TOTAL presets=192 shapes=3953
